Validation Accuracy	Validation Loss	Training Accuracy	Training Loss
0.0037082818	38138860.0	0.0048	10462.474
0.02843016	57591360000.0	0.024	38502716.0
0.043881334	52144040000.0	0.0496	58458740000.0
0.048207663	5885206500.0	0.0664	54000550000.0
0.02843016	68283875000.0	0.024	6436344000.0
0.013597033	111539970000.0	0.0104	68132470000.0
0.02843016	102880720000.0	0.0256	112918300000.0
0.043881334	156194390000.0	0.0576	105174180000.0
0.017305315	138345920000.0	0.016	156272020000.0
0.0049443757	107319935000.0	0.0096	137999730000.0
0.02843016	97352730000.0	0.0224	106336820000.0
0.013597033	426194140000.0	0.012	96904970000.0
0.02843016	181871020000.0	0.0352	430511360000.0
0.037700865	178601480000.0	0.0384	169548960000.0
0.02843016	1039674970000.0	0.0304	179007010000.0
0.0512979	575168200000.0	0.0496	1048517150000.0
0.038318913	993255400000.0	0.0448	531210960000.0
0.038318913	795625200000.0	0.0304	1002624250000.0
0.013597033	349115420000.0	0.0096	788850700000.0
0.0018541409	516559930000.0	0.0048	352668940000.0
0.013597033	176003780000.0	0.0152	515506830000.0
0.045735475	240835170000.0	0.048	168998850000.0
0.043881334	1361872800000.0	0.0432	241508990000.0
0.0407911	589619660000.0	0.0424	1339833500000.0
0.005562423	767408900000.0	0.0024	562224500000.0
0.012978987	372393280000.0	0.0208	721017700000.0
0.043263286	1133256800000.0	0.0456	381343800000.0
0.038318913	522265700000.0	0.0384	1146699500000.0
0.04697157	77464200000.0	0.0312	527139800000.0
0.013597033	758434300000.0	0.012	75821154000.0
0.012978987	225220410000.0	0.0128	761526000000.0
0.05871446	345002700000.0	0.0728	214149600000.0
0.059950557	243983160000.0	0.0808	327050230000.0
0.07849196	466287500000.0	0.0984	237837060000.0
0.056242276	356541600000.0	0.052	463555900000.0
0.07849196	224547750000.0	0.072	349380440000.0
0.06922126	266749940000.0	0.0768	231173230000.0
0.045735475	145142640000.0	0.056	262238780000.0
0.10630408	294976720000.0	0.1056	142096630000.0
0.09332509	106763630000.0	0.1008	295151300000.0
0.045735475	158987800000.0	0.0384	106682910000.0
0.0037082818	158835800000.0	0.0056	155224700000.0
0.043881334	270567360000.0	0.048	166500550000.0
0.09579728	64513065000.0	0.1128	267995170000.0
0.15574783	103696800000.0	0.1472	64144110000.0
0.19530284	64879546000.0	0.1856	107056470000.0
0.12917182	88295965000.0	0.1416	65774130000.0
0.092089	88750180000.0	0.0992	98280240000.0
0.15574783	75405640000.0	0.156	89175930000.0
0.056242276	99862870000.0	0.0728	79030510000.0
0.0710754	60436090000.0	0.076	98856850000.0
0.058096416	34245618000.0	0.0704	59104784000.0
0.08405439	46868420000.0	0.104	34258782000.0
0.04944376	46417347000.0	0.0536	50815970000.0
0.09023486	39688372000.0	0.104	49382797000.0
0.14585909	31635515000.0	0.1512	41435234000.0
0.14091471	29709621000.0	0.1528	33234000000.0
0.103831895	29116836000.0	0.1088	31110914000.0
0.08652657	25315510000.0	0.0888	30952004000.0
0.096415326	23602307000.0	0.0952	26310640000.0
0.08838072	20001909000.0	0.108	23275522000.0
0.10568603	16370846000.0	0.104	20434502000.0
0.12917182	14160234000.0	0.1312	16904151000.0
0.14833127	11482043000.0	0.148	14714220000.0
0.18726823	9593709000.0	0.1912	12103713000.0
0.1538937	9295535000.0	0.1472	9904429000.0
0.11433869	9293411000.0	0.1232	9447470000.0
0.11310259	8798222000.0	0.1312	9401470000.0
0.14771323	7831638000.0	0.16	8657172000.0
0.13288009	6867275300.0	0.1456	7569004000.0
0.1025958	6175101000.0	0.1112	7364194300.0
0.13164401	6883621400.0	0.1328	6127727600.0
0.17305315	6033669600.0	0.1624	7079647700.0
0.18788628	7352587300.0	0.192	6247431700.0
0.25030902	6084796000.0	0.2648	6775911000.0
0.24412856	4944444000.0	0.2616	5964117000.0
0.25587144	4624539000.0	0.2616	4627644000.0
0.22126082	3461308000.0	0.2112	4797842000.0
0.27070457	3759045000.0	0.2696	3255436500.0
0.30840543	3125614800.0	0.3288	3417258500.0
0.29480842	3706144000.0	0.2904	3134306800.0
0.3182942	3254298400.0	0.2944	3759989200.0
0.35475895	2628811300.0	0.3464	3461832700.0
0.3658838	2438638800.0	0.3664	2473590500.0
0.32138443	2506747000.0	0.3472	2388704500.0
0.37021014	2390604500.0	0.348	2709144000.0
0.39184177	2165930200.0	0.4112	2337947400.0
0.3961681	1883524100.0	0.3792	2209330400.0
0.38071692	1721202200.0	0.388	1973902200.0
0.39431396	1634121500.0	0.3928	1746415100.0
0.43572313	1425902600.0	0.4288	1583077200.0
0.47836834	1242362600.0	0.488	1308714900.0
0.48393077	1205771100.0	0.4896	1178621400.0
0.49814585	1118809300.0	0.4808	1231048300.0
0.5197775	1017024260.0	0.5104	1011584800.0
0.5185414	937158800.0	0.5232	874676500.0
0.539555	857539600.0	0.552	817081400.0
0.58281827	751230850.0	0.5736	833964000.0
0.592089	716877950.0	0.6072	679283700.0
0.5698393	757758000.0	0.5912	725395140.0
0.57045734	709233860.0	0.5832	688076600.0
0.57911	631757400.0	0.5848	613286140.0
0.52163166	668458100.0	0.5264	531318850.0
0.4907293	679042700.0	0.5024	651112100.0
0.553152	602854400.0	0.6024	550395400.0
0.6075402	565137300.0	0.6176	485954880.0
0.6347342	535269540.0	0.6568	509077060.0
0.63349813	515376640.0	0.628	488681920.0
0.6266996	500408670.0	0.6352	408727580.0
0.6396786	459462530.0	0.6704	403739550.0
