Validation Accuracy	Validation Loss	Training Accuracy	Training Loss
0.038318913	20178776.0	0.0376	10449.931
0.038318913	111356070000.0	0.0472	20406842.0
0.01606922	140861520000.0	0.0192	103137230000.0
0.038318913	12376895000.0	0.0408	141206000000.0
0.031520396	17001649000.0	0.0288	12088288000.0
0.033992585	34271021000.0	0.0376	17234457000.0
0.038318913	326452050000.0	0.044	33503805000.0
0.03275649	81487905000.0	0.0304	321458630000.0
0.0024721879	77647815000.0	0.0016	80203310000.0
0.01606922	119389176000.0	0.0256	77519970000.0
0.037082817	248433330000.0	0.0368	118123410000.0
0.0024721879	285191540000.0	0.0072	238903430000.0
0.11681088	49320430000.0	0.1184	281692930000.0
0.038318913	842852700000.0	0.0448	48444015000.0
0.033992585	133616750000.0	0.0488	809895700000.0
0.042027194	185762300000.0	0.0544	134230114000.0
0.0074165636	71858340000.0	0.0112	200757100000.0
0.0024721879	846449930000.0	0.0032	71750280000.0
0.017305315	177165240000.0	0.02	829368300000.0
0.008652657	93985100000.0	0.0072	174359360000.0
0.039555006	403227400000.0	0.0552	96062235000.0
0.01606922	639128630000.0	0.0112	392922040000.0
0.06118665	890798150000.0	0.0648	624220050000.0
0.107540175	280483700000.0	0.1024	940440200000.0
0.038318913	3719158600000.0	0.0424	293345720000.0
0.015451174	472198770000.0	0.02	3632757200000.0
0.0074165636	371891600000.0	0.0072	474485130000.0
0.038318913	792074800000.0	0.0408	367296580000.0
0.039555006	146987580000.0	0.0416	787490800000.0
0.02039555	310904420000.0	0.012	141311210000.0
0.05500618	82854580000.0	0.056	311883170000.0
0.003090235	344291770000.0	0.0064	81632990000.0
0.02657602	191556680000.0	0.0216	341925070000.0
0.037082817	191509360000.0	0.044	183605950000.0
0.016687268	264276790000.0	0.0144	193332670000.0
0.042027194	232805550000.0	0.048	266945990000.0
0.00803461	280335970000.0	0.016	230053300000.0
0.031520396	159253000000.0	0.0288	283141670000.0
0.040173054	219253870000.0	0.0344	163326750000.0
0.012978987	211296340000.0	0.0088	219080700000.0
0.042645242	285114800000.0	0.048	208797340000.0
0.039555006	233590060000.0	0.0368	279519170000.0
0.016687268	158716620000.0	0.0136	228904470000.0
0.013597033	283307670000.0	0.0152	160984630000.0
0.06922126	71218954000.0	0.072	287026380000.0
0.017305315	274850270000.0	0.028	74276340000.0
0.05747837	191882330000.0	0.0656	266375610000.0
0.03275649	283735950000.0	0.0344	194177910000.0
0.042027194	103027410000.0	0.056	279342020000.0
0.062422745	66845348000.0	0.0712	98114240000.0
0.09456119	35862413000.0	0.0976	64030896000.0
0.058096416	57247390000.0	0.0728	35676074000.0
0.07601978	42696417000.0	0.0616	59276177000.0
0.066131026	33639733000.0	0.0784	41106797000.0
0.056242276	30604902000.0	0.0512	32931672000.0
0.07911001	40597692000.0	0.0704	33199647000.0
0.05253399	44166857000.0	0.0528	40908423000.0
0.050061803	31006706000.0	0.044	45767606000.0
0.06365884	52669510000.0	0.0656	31588106000.0
0.058096416	36281123000.0	0.0648	53424394000.0
0.021013597	69595500000.0	0.0208	35987177000.0
0.033992585	43881095000.0	0.0288	67820180000.0
0.013597033	56871190000.0	0.0096	44327064000.0
0.09888752	32623395000.0	0.116	57102905000.0
0.10197775	48165100000.0	0.0992	33710907000.0
0.10630408	34485006000.0	0.1024	48796100000.0
0.14524104	17608360000.0	0.12	34363310000.0
0.08776267	21061510000.0	0.0928	17987852000.0
0.09579728	21654210000.0	0.0864	21124108000.0
0.13164401	14011856000.0	0.1168	20631183000.0
0.13597034	15151057000.0	0.12	14719276000.0
0.18974042	13202587000.0	0.1856	15657140000.0
0.17861557	10495907000.0	0.2008	13535805000.0
0.15636589	9126040000.0	0.152	10734702000.0
0.1223733	10142396000.0	0.1384	9059142000.0
0.1526576	8311801000.0	0.1512	10289418000.0
0.20024721	7064522000.0	0.192	8298030000.0
0.30037084	5369935400.0	0.2816	7325730300.0
0.30469716	5109444600.0	0.32	5359880700.0
0.29233623	5948358700.0	0.3104	5044003300.0
0.32385662	5132194000.0	0.3296	5950233000.0
0.3275649	4276780300.0	0.3368	5098340000.0
0.30469716	4131054300.0	0.3176	4246807800.0
0.3250927	3990534000.0	0.3376	4202698500.0
0.34672436	3392961300.0	0.352	4061259500.0
0.36402968	2618677500.0	0.372	3365627000.0
0.36155748	2435527400.0	0.4144	2282321400.0
0.40358466	1862410000.0	0.4472	2285592300.0
0.4171817	1899163100.0	0.4368	1728889900.0
0.4264524	1663532900.0	0.4256	1894380700.0
0.4301607	1641045100.0	0.476	1545268600.0
0.45055625	1598748400.0	0.44	1653721900.0
0.49629173	1328699900.0	0.4976	1682684000.0
0.49011126	1240693600.0	0.508	1407523200.0
0.47033376	1278506000.0	0.4616	1273792300.0
0.49258342	1109036500.0	0.5104	1171330000.0
0.47156984	1118875600.0	0.492	1055387300.0
0.44808406	1106627000.0	0.4976	982571400.0
