Validation Accuracy	Validation Loss	Training Accuracy	Training Loss
0.0049443757	120560300.0	0.0132	10451.323
0.038936958	77631840000.0	0.0512	114889170.0
0.02039555	80743950000.0	0.0216	76181996000.0
0.046353523	10832838000.0	0.0484	86042680000.0
0.02039555	162546380000.0	0.0184	10533831000.0
0.02039555	448033300000.0	0.026	165411720000.0
0.048207663	411117300000.0	0.0448	430594880000.0
0.04882571	123618490000.0	0.0476	416487700000.0
0.055624228	38359323000.0	0.0444	126265540000.0
0.019777503	41008394000.0	0.016	39072272000.0
0.055624228	64329216000.0	0.0416	42348210000.0
0.04882571	95715975000.0	0.0416	68367294000.0
0.045735475	94705020000.0	0.0304	101426470000.0
0.045735475	51253846000.0	0.0476	95401610000.0
0.038936958	106063050000.0	0.0372	50404168000.0
0.02039555	307044650000.0	0.0248	106500784000.0
0.005562423	142404370000.0	0.0068	314185650000.0
0.009270704	83747045000.0	0.0156	137990080000.0
0.040173054	172588960000.0	0.0432	80522410000.0
0.1025958	11986298000.0	0.1012	178494900000.0
0.038318913	26245057000.0	0.0292	10898757000.0
0.05253399	20919069000.0	0.0468	25650086000.0
0.058096416	116753570000.0	0.062	19484045000.0
0.04882571	113333180000.0	0.048	117830170000.0
0.040173054	152633250000.0	0.0504	108241900000.0
0.048207663	53314910000.0	0.0428	145530850000.0
0.033374537	23606135000.0	0.0324	52454363000.0
0.030902348	252973320000.0	0.0344	21734207000.0
0.042645242	283698000000.0	0.0408	256656700000.0
0.017305315	280026380000.0	0.0216	259316650000.0
0.044499382	39345470000.0	0.0496	262752110000.0
0.02039555	377334000000.0	0.026	39366690000.0
0.027194066	200938050000.0	0.0404	385942420000.0
0.02843016	158773530000.0	0.0384	194641800000.0
0.0407911	609324600000.0	0.0452	160996110000.0
0.06365884	98830610000.0	0.0492	627953800000.0
0.0512979	152941500000.0	0.0436	102855330000.0
0.060568605	205004800000.0	0.07	148411020000.0
0.04882571	321023380000.0	0.0572	202111390000.0
0.021631643	344574560000.0	0.0292	323131770000.0
0.015451174	252144010000.0	0.0144	320857960000.0
0.111866504	65370845000.0	0.1132	246916970000.0
0.040173054	205485490000.0	0.046	67914056000.0
0.07663783	92184740000.0	0.072	208944400000.0
0.009270704	127929850000.0	0.0036	90769690000.0
0.044499382	212703670000.0	0.0452	129988440000.0
0.046353523	138929950000.0	0.042	222258840000.0
0.092089	122831880000.0	0.1	137646880000.0
0.05067985	124442690000.0	0.054	120640380000.0
0.013597033	87815864000.0	0.0084	124522770000.0
0.0407911	95849636000.0	0.0376	87832355000.0
0.035228677	130632270000.0	0.0352	93869695000.0
0.037700865	114000630000.0	0.0372	131581920000.0
0.038936958	112200290000.0	0.0332	114376080000.0
0.09456119	50910556000.0	0.0916	113421110000.0
0.02039555	78311360000.0	0.02	50112960000.0
0.0512979	70762865000.0	0.0408	83426220000.0
0.0512979	70113220000.0	0.0508	70384255000.0
0.021631643	43458654000.0	0.0208	69946820000.0
0.06922126	39750180000.0	0.0816	43456655000.0
0.069839306	30176977000.0	0.078	39780745000.0
0.07169345	36998636000.0	0.068	30512058000.0
0.06427688	25337051000.0	0.0652	36977170000.0
0.12855376	21877557000.0	0.11	26017704000.0
0.14771323	20463493000.0	0.1612	22169848000.0
0.16007416	22411080000.0	0.1552	21276328000.0
0.16996291	22985292000.0	0.1704	22709672000.0
0.16131026	16821845000.0	0.1696	23492050000.0
0.15327565	17195473000.0	0.1544	17647278000.0
0.20580964	11070831000.0	0.2004	17054067000.0
0.25339925	11972896000.0	0.2608	10889418000.0
0.30593324	10461176000.0	0.2896	12166340000.0
0.21569839	9771125000.0	0.2012	10467110000.0
0.21199012	7011118600.0	0.1972	9976321000.0
0.25896168	6613518000.0	0.272	7208058400.0
0.25587144	6658820600.0	0.2588	6533316600.0
0.2960445	6643619000.0	0.272	6614400500.0
0.3133498	5765875000.0	0.278	6833555000.0
0.33992583	4178475300.0	0.3116	6080793600.0
0.32880098	3630899500.0	0.3128	4221604400.0
0.32323855	3580055000.0	0.2984	3549121000.0
0.36897403	3206926600.0	0.3544	3589501700.0
0.41594562	3028980500.0	0.4	3088323600.0
0.4437577	2679862500.0	0.4372	3045906400.0
0.4814586	2124378200.0	0.4516	2540573700.0
0.47836834	2047952600.0	0.4412	2004971900.0
0.48640296	1853464200.0	0.47	1829652400.0
0.5117429	1655543600.0	0.464	1760021600.0
0.51112485	1635437000.0	0.5072	1534128300.0
0.50432634	1459900300.0	0.4948	1493021200.0
0.48207664	1449919700.0	0.4792	1331750100.0
0.4882571	1427767700.0	0.4668	1330652300.0
0.5278121	1240910300.0	0.514	1410209500.0
0.5562423	1216860300.0	0.5556	1080699600.0
0.54511744	1164770400.0	0.5376	1125518300.0
0.5630408	1007819840.0	0.5508	1073902000.0
0.58096415	947263700.0	0.5732	888134700.0
0.60815823	896593700.0	0.604	807064960.0
0.5970334	872794500.0	0.6116	698781950.0
0.6143387	781313150.0	0.6136	798561500.0
0.63597035	730106400.0	0.6448	636446400.0
0.6464771	679596350.0	0.6256	641906240.0
0.6551298	637443400.0	0.654	569225600.0
0.6761434	594074500.0	0.6848	539566900.0
0.6588381	548616000.0	0.6568	547616200.0
0.6959209	497345950.0	0.6908	440527970.0
0.7039555	484684900.0	0.7132	412978200.0
0.7169345	463378880.0	0.7112	427662400.0
0.7249691	432051170.0	0.7508	365403870.0
0.7447466	403677100.0	0.7488	377341440.0
0.7540173	389423550.0	0.7692	337693380.0
0.7595797	382970180.0	0.7832	300447840.0
0.76885045	357031000.0	0.7776	331216830.0
0.7849197	326893600.0	0.7956	280957250.0
0.7812114	320870620.0	0.7912	254988500.0
0.76885045	325791580.0	0.7924	237255360.0
0.76514214	320149200.0	0.7832	251287570.0
0.77935725	295243230.0	0.8036	235101230.0
0.7867738	278551700.0	0.8008	223978350.0
0.7799753	278782270.0	0.8	213418610.0
0.7855377	271643100.0	0.8088	217078350.0
0.7904821	258049250.0	0.8112	220602800.0
0.79419035	252692500.0	0.8128	210833660.0
0.8003708	251488350.0	0.818	198786740.0
0.80098885	236656720.0	0.8108	191703520.0
0.7985167	223906190.0	0.8272	160148020.0
0.79666257	222127330.0	0.8184	172604980.0
0.7985167	223143680.0	0.8164	192781500.0
0.80098885	210410240.0	0.8268	181024030.0
0.79789865	199562700.0	0.8276	155180800.0
0.8034611	202936210.0	0.826	163354980.0
0.8034611	205781890.0	0.8428	146455950.0
0.81273174	191468220.0	0.8268	158697740.0
0.8108776	181739780.0	0.8284	150421070.0
0.80840546	183400980.0	0.8124	154726200.0
0.8176761	174942020.0	0.8504	135547980.0
0.8257108	171283400.0	0.8448	142666820.0
0.8207664	169266130.0	0.8368	141866190.0
0.8139679	174029710.0	0.8432	123574344.0
0.8275649	161579460.0	0.8556	133528550.0
0.83374536	156885120.0	0.8532	120071760.0
0.83374536	155345100.0	0.8644	120566360.0
0.83003706	149091250.0	0.8544	120111410.0
0.83189124	147254860.0	0.8448	119615480.0
0.83745366	149237800.0	0.862	110657020.0
0.8331273	149326020.0	0.8604	98769580.0
0.8362176	140778500.0	0.8712	93195770.0
0.83745366	137374380.0	0.8748	80588920.0
0.84054387	138198500.0	0.8688	102867100.0
0.84425217	133855610.0	0.8724	105767270.0
0.8479605	133316136.0	0.884	70588490.0
0.8461063	136471380.0	0.8724	83358850.0
0.8461063	137200290.0	0.8832	79019020.0
0.8535229	126688220.0	0.8836	81839384.0
0.83189124	130940350.0	0.872	83134650.0
0.8399258	128477464.0	0.8624	93886860.0
0.8479605	124259910.0	0.8716	91540820.0
0.8411619	126456584.0	0.8676	85059910.0
0.8473424	123132280.0	0.8652	89738300.0
0.8578492	118334760.0	0.8924	84827260.0
0.8436341	116023980.0	0.8808	62173956.0
0.84548825	114005784.0	0.864	93744104.0
0.8498146	112865650.0	0.878	78829920.0
0.8448702	113923896.0	0.88	81327240.0
0.8529048	109586570.0	0.888	75451820.0
0.8510507	106979330.0	0.8796	72154760.0
0.84919655	107763450.0	0.8884	66121190.0
0.85228676	105642150.0	0.8888	72646630.0
0.84919655	105945110.0	0.8876	59822860.0
0.8566131	105336824.0	0.8968	65479044.0
0.85908526	102071944.0	0.8964	73456650.0
0.8529048	100310630.0	0.8948	59568228.0
0.8448702	101677440.0	0.8724	72024456.0
0.8529048	99424510.0	0.8872	71441600.0
0.85414094	99414696.0	0.8916	55633260.0
0.85599506	98793280.0	0.8972	57477280.0
0.8615575	96377990.0	0.902	48782540.0
0.8584672	94286990.0	0.9052	57032148.0
0.8461063	95818930.0	0.8828	60974740.0
0.855377	94051750.0	0.8944	60304692.0
0.855377	95660020.0	0.896	52396450.0
0.85908526	94368470.0	0.8908	47446804.0
0.8603214	90723040.0	0.898	57304950.0
0.8578492	90453630.0	0.9068	45085036.0
0.8529048	90788280.0	0.8928	56654076.0
0.85908526	87633660.0	0.906	52369244.0
0.8603214	90378936.0	0.9028	48271160.0
0.85970336	88288240.0	0.8932	50834310.0
0.85970336	86846590.0	0.9096	52889616.0
0.85970336	85962570.0	0.8928	48925810.0
0.8621755	83890760.0	0.9008	55323920.0
0.85970336	84483680.0	0.9116	35449604.0
0.86402965	83629870.0	0.914	45305090.0
0.8646477	82310250.0	0.9168	39665976.0
0.86093944	81049070.0	0.9016	43783264.0
0.8646477	80765990.0	0.9128	39149540.0
0.8634116	80842730.0	0.9176	39988896.0
0.8529048	83709980.0	0.9	36690612.0
0.8646477	82471224.0	0.9032	51915764.0
0.86773795	80142390.0	0.904	46780988.0
0.84919655	82325530.0	0.9004	44543668.0
0.8646477	81314450.0	0.9028	45342436.0
0.8658838	77691624.0	0.9064	49582940.0
0.85414094	78230440.0	0.8888	38192220.0
0.86279356	77956470.0	0.9084	40741980.0
0.8634116	78118790.0	0.9156	40826564.0
0.8516687	80919790.0	0.8932	39407830.0
0.8658838	75180090.0	0.9164	35435388.0
