Validation Accuracy	Validation Loss	Training Accuracy	Training Loss
0.96	263866200.0	0.9976	5250493.5
0.96	263638820.0	0.9992	2822390.0
0.96	260643660.0	0.9952	11222719.0
0.9633333	254688980.0	0.9984	5754693.0
0.9633333	250123410.0	0.9936	7981587.0
0.9633333	246143820.0	0.9912	12437338.0
0.9633333	242549250.0	0.9928	7287907.0
0.9633333	239588140.0	0.9968	8294548.5
0.9633333	237525730.0	0.9976	7206339.5
0.9633333	235829800.0	0.996	8263824.0
0.96666664	234316000.0	0.9976	6368930.0
0.96666664	233619970.0	0.9928	11143886.0
0.96666664	232423920.0	0.9976	4854137.0
0.96666664	231879360.0	0.9968	6159212.0
0.96666664	231725280.0	0.9952	5368329.5
0.96666664	231550400.0	0.9968	4291383.5
0.96666664	231847440.0	0.996	5898861.0
0.96666664	232542780.0	0.9936	12099835.0
0.96666664	233462300.0	0.9992	2928141.5
0.9633333	234297760.0	0.9968	3419939.8
0.9633333	234717330.0	0.9952	6654746.0
0.9633333	235093040.0	1.0	2543402.0
0.9633333	234590750.0	0.9936	14085553.0
0.96666664	233800380.0	0.996	5418489.0
0.96666664	233590860.0	0.9976	2711438.2
0.96666664	233273460.0	0.9976	4278148.5
0.96666664	233122220.0	0.9992	4446763.0
0.96666664	232730860.0	0.9984	4630039.5
0.96666664	232004400.0	0.9976	6613535.5
0.96666664	231593570.0	0.9976	5039342.5
0.96666664	231221660.0	1.0	2537514.2
0.96666664	230884420.0	1.0	2536768.2
0.96666664	230446200.0	0.9984	3014815.2
0.96666664	229615970.0	0.9976	3856819.5
0.96666664	227994740.0	0.9968	5234242.0
0.96666664	226472640.0	0.9952	7661806.5
0.96666664	225388450.0	0.9992	2716372.0
0.96666664	224166510.0	0.9968	6962002.5
0.9633333	222786980.0	0.9968	5078511.0
0.9633333	221223420.0	0.9936	6776944.5
0.9633333	219666930.0	0.9992	2788138.0
0.9633333	218809660.0	0.9952	5830256.0
0.9633333	218188460.0	0.9952	3971693.2
0.9633333	218261660.0	0.9928	9358692.0
0.96666664	218481780.0	0.9968	3403592.5
0.96666664	218725800.0	0.9936	4327554.5
0.97	218953780.0	0.996	4721779.0
0.96666664	218657220.0	0.9984	4933862.0
0.96666664	218887900.0	0.9976	4940614.0
0.96666664	218675950.0	0.996	3854026.0
0.9633333	217444960.0	0.9968	3609719.5
0.9633333	216791400.0	0.996	5382514.5
0.96666664	216210780.0	1.0	2523029.2
0.96666664	216357280.0	0.9976	4266900.5
0.9633333	216660430.0	0.9984	2891447.5
0.9633333	216728430.0	0.9984	4713876.5
0.96666664	217087470.0	0.9992	2706787.8
0.96666664	217914320.0	0.9976	4378712.5
0.96666664	217904670.0	0.9984	3192508.0
0.96666664	217932160.0	0.9984	4416673.0
0.96666664	216901740.0	0.9976	3977840.8
0.96666664	215188590.0	0.9984	2865407.5
0.96666664	213998460.0	0.9992	2648955.0
0.96666664	213009920.0	0.9992	4229959.5
0.96666664	212209620.0	0.9984	2801839.0
0.96666664	211553730.0	0.9976	4557713.5
0.96666664	210679890.0	0.9992	2549183.8
0.96666664	210242660.0	0.9976	6333523.0
0.96666664	209846930.0	1.0	2513002.2
0.96666664	209786110.0	0.9984	2591964.2
0.96666664	209821180.0	0.9976	5924881.0
0.96666664	210124750.0	0.9976	3036274.0
0.96666664	210407070.0	0.9976	2807689.0
0.96666664	210069230.0	0.9952	2863425.0
0.96666664	209763000.0	1.0	2508744.2
0.96666664	209842060.0	0.9968	5680587.0
0.96666664	209798460.0	0.9984	4059886.8
0.96666664	209155970.0	0.9992	2563013.2
0.96666664	208760080.0	0.996	4118589.5
0.96666664	209031200.0	0.9976	7066313.5
0.97	210155460.0	0.9976	2602057.0
0.97	211079260.0	0.9992	2613017.0
0.97	211911040.0	0.9992	2503191.5
0.97	212450350.0	0.9968	5326260.0
0.96666664	212647980.0	1.0	2521456.0
0.96666664	212377920.0	0.9984	2709041.5
0.96666664	211819180.0	0.9992	2588134.5
0.96666664	211314700.0	1.0	2499839.8
0.96666664	210859090.0	1.0	2499189.2
0.96666664	210625580.0	0.9968	5561202.5
0.96666664	210687760.0	0.9992	4062239.5
0.96666664	210830720.0	0.9992	2529158.8
0.96666664	211047380.0	0.9992	4041589.5
0.96666664	211242240.0	1.0	2495807.2
0.96666664	211773760.0	0.9976	7052659.0
0.96666664	212251440.0	1.0	2494402.8
0.96666664	212770670.0	0.9992	3908779.5
0.96666664	213327490.0	0.9984	3855931.8
0.96666664	213485660.0	0.9968	2527937.2
0.96666664	213626200.0	1.0	2491593.0
0.96666664	213847360.0	0.996	5022677.5
0.96666664	213732860.0	0.9976	3776720.5
0.96666664	213719020.0	0.9992	3701563.8
0.96666664	213796350.0	0.9992	3683122.0
0.96666664	213778690.0	0.9992	2509968.5
0.96666664	213650750.0	0.9984	3666194.8
0.96666664	213539490.0	0.9984	3638711.0
0.96666664	213442770.0	0.9992	3618151.2
0.96666664	213354190.0	1.0	2485591.0
0.96666664	213455470.0	0.9984	4691632.0
0.96666664	213314700.0	1.0	2500631.2
0.96666664	213185800.0	1.0	2483616.2
0.96666664	213160350.0	0.9992	3540121.5
0.96666664	213136060.0	1.0	2482306.2
0.96666664	213100980.0	0.9984	3515346.0
0.96666664	213251780.0	0.996	4507372.5
0.9633333	213431940.0	1.0	2480330.5
0.9633333	213131300.0	1.0	2505938.5
0.9633333	212704640.0	0.9992	2501130.8
0.96666664	212073380.0	0.9976	3517318.0
0.96666664	211430540.0	1.0	2486349.8
0.96666664	210942340.0	0.9984	3460270.0
0.96666664	210723020.0	0.9992	3522403.0
0.96666664	210523740.0	1.0	2475842.8
0.96666664	210342930.0	1.0	2475199.0
0.96666664	210178580.0	1.0	2474548.8
0.96666664	210029460.0	1.0	2473890.2
0.96666664	209893490.0	0.9992	2473239.5
0.96666664	210060050.0	0.9992	3414296.5
0.96666664	210302800.0	0.9992	3390180.8
0.9633333	210791300.0	0.9984	4247944.5
0.9633333	211541150.0	0.9968	4153057.2
0.9633333	211612160.0	0.9952	3348779.8
0.9633333	211410320.0	0.9984	2557812.2
0.9633333	210985780.0	0.9984	3301547.5
0.9633333	210458450.0	1.0	2476559.0
0.96666664	209994350.0	1.0	2467498.8
0.96666664	209654370.0	1.0	2466901.0
0.96666664	209536770.0	0.9984	4125737.0
0.96666664	209429680.0	1.0	2465672.8
0.96666664	209427100.0	0.9992	3286288.0
0.96666664	209423500.0	1.0	2464437.5
0.96666664	209514600.0	0.9992	3258891.2
0.9633333	209596720.0	1.0	2463189.0
0.9633333	209708880.0	1.0	2462557.5
0.9633333	209938610.0	0.9992	3199208.8
0.9633333	210144060.0	1.0	2461288.8
0.9633333	210328030.0	1.0	2460651.0
0.9633333	210623140.0	0.9976	3127496.0
0.96666664	210634820.0	0.9944	4455727.5
0.96666664	210612640.0	0.9968	3105867.8
0.9633333	209746220.0	1.0	2548705.5
0.9633333	209150370.0	0.9992	3065716.0
0.9633333	208612220.0	1.0	2457023.8
0.9633333	208126370.0	1.0	2456439.5
0.9633333	207949800.0	0.9984	3708038.8
0.9633333	207920770.0	0.9992	3065642.5
0.9633333	208156260.0	0.9984	3626596.0
0.96666664	208431760.0	0.996	2454048.2
0.96666664	208536700.0	0.9992	2487742.5
0.96666664	208276290.0	0.9992	2530301.0
0.96666664	207696340.0	0.9992	2503504.8
0.9633333	207074130.0	0.9992	2977151.8
0.9633333	206660100.0	0.9992	2966317.2
0.9633333	206414530.0	0.9984	3507027.2
0.9633333	206192270.0	1.0	2449922.8
0.9633333	205990530.0	1.0	2449341.8
0.9633333	205940820.0	0.9992	2972695.5
0.9633333	205894990.0	1.0	2448157.2
0.9633333	205852350.0	1.0	2447553.0
0.9633333	205812880.0	1.0	2446953.0
0.9633333	205910260.0	0.9984	2932452.5
0.9633333	206131300.0	0.9992	2914176.0
0.96	206413120.0	0.9984	2918817.5
0.9633333	206738380.0	1.0	2444522.8
0.9633333	207248460.0	0.9976	3301425.2
0.9633333	207010270.0	0.9976	2643844.8
0.9633333	207229970.0	0.9976	3180286.0
0.9633333	207601280.0	0.996	3596813.5
0.9633333	208193120.0	0.9944	3092483.5
0.9633333	208157280.0	0.996	2952834.5
0.9633333	207059900.0	0.9968	2752930.5
0.9633333	205629870.0	0.9984	2590405.8
0.96	204516400.0	1.0	2439234.8
0.9633333	203825170.0	1.0	2448357.0
0.96666664	203448800.0	0.9984	2855105.2
0.96666664	203123580.0	1.0	2437504.2
0.96666664	202931340.0	0.9992	2872669.0
0.9633333	203845800.0	0.9976	3822706.2
0.96	205044220.0	0.9992	2832886.0
0.9633333	206333810.0	0.9992	2789258.8
0.9633333	207630420.0	0.9992	2434518.8
0.9633333	209022020.0	0.996	2694200.0
0.9633333	210014620.0	0.992	2904450.8
0.9633333	209358240.0	0.9976	2656229.8
0.9633333	208106540.0	0.9984	2662280.2
0.96	207355400.0	0.9992	2461928.0
0.96	206769970.0	1.0	2431060.8
0.9633333	206690290.0	0.9984	2771043.0
0.9633333	206522380.0	0.9992	3817028.8
0.9633333	206123090.0	0.9984	3928518.2
0.9633333	205910400.0	0.9992	2726485.0
0.96	207400960.0	0.9976	3641001.2
0.9633333	209167700.0	0.9984	2892226.5
0.9633333	211149620.0	0.9992	2594079.5
0.9633333	211433340.0	0.9968	2917071.5
0.96	208909780.0	0.9984	3328186.2
0.96	206927710.0	0.9984	2569172.0
0.9633333	205292770.0	0.9984	2425055.8
0.9633333	204924450.0	0.996	3337022.8
0.9633333	204825680.0	0.9992	2477591.8
0.96	207178050.0	1.0	3483561.5
0.9633333	209651460.0	0.9984	2441476.8
0.9633333	211238780.0	0.996	2555132.0
0.9633333	211736720.0	0.9944	2759766.2
0.9633333	210148960.0	0.992	3881374.0
0.96	208521580.0	0.9976	2546678.5
0.9633333	207311090.0	1.0	2420547.0
0.9633333	206566660.0	0.9992	2568957.0
0.9633333	205894300.0	1.0	2419618.8
0.9633333	205286850.0	1.0	2419136.8
0.9633333	204854400.0	0.9992	2717805.8
0.96666664	204540540.0	1.0	2418141.2
0.96666664	204577010.0	0.9968	3838818.0
0.9633333	205314660.0	0.9952	3423035.8
0.9633333	205715360.0	0.9976	3027388.8
0.9633333	204465580.0	1.0	2723884.8
0.9633333	203921440.0	0.9992	2692932.0
0.9633333	203582530.0	0.9992	2615525.5
0.9633333	202965460.0	0.9976	2947486.0
0.9633333	202560980.0	0.9992	2556798.8
0.9633333	202193940.0	1.0	2413769.0
0.9633333	201861650.0	1.0	2413302.8
0.96	202289580.0	1.0	2547571.0
0.96	202555980.0	0.9992	2465166.2
0.9633333	202904780.0	0.9976	2411936.2
0.9633333	203231330.0	0.9992	2411485.2
0.9633333	202040480.0	0.9984	2846065.0
0.96	200832460.0	0.9992	2512956.0
0.9633333	199597570.0	0.9992	2484775.2
0.9633333	198725680.0	0.9992	2409643.2
0.9633333	197938510.0	0.9984	2409181.5
0.9633333	202150160.0	0.9984	2881093.2
0.9633333	206194660.0	0.9984	2648777.0
0.9633333	209966220.0	0.9992	2516381.8
0.96	215317140.0	1.0	2407197.8
0.96	220249220.0	1.0	2406685.8
0.95666665	225142220.0	0.9952	2926736.5
0.96	222971000.0	0.9992	2823260.8
0.96	221640780.0	1.0	2405161.2
0.96	220443140.0	1.0	2404671.2
0.96	219364240.0	1.0	2404162.8
0.96	218391520.0	1.0	2403650.8
0.95666665	217516130.0	1.0	2403135.0
0.95666665	216768180.0	1.0	2402602.5
0.95666665	216093380.0	1.0	2402069.0
0.95666665	215484600.0	1.0	2401525.2
0.95666665	214935380.0	1.0	2400971.0
0.95666665	214439420.0	1.0	2400416.8
0.95666665	213991280.0	1.0	2399862.8
0.95666665	213586540.0	1.0	2399296.2
0.95666665	213220580.0	1.0	2398729.2
0.95666665	212889890.0	1.0	2398155.2
0.96	212709980.0	0.9984	2397588.8
0.96	212563730.0	1.0	2397003.5
0.96	212430560.0	1.0	2396426.8
0.96	212107410.0	1.0	2404733.0
0.96	211814290.0	1.0	2395264.8
0.96	211549540.0	1.0	2394685.8
0.96	211309100.0	1.0	2394100.8
0.96	211091020.0	1.0	2393506.8
0.96	210893660.0	1.0	2392927.2
0.96	210714160.0	1.0	2392331.5
0.96	210551120.0	1.0	2391745.0
0.96	210402770.0	1.0	2391158.8
0.96	210267920.0	1.0	2390562.5
0.96	210144830.0	1.0	2389975.2
0.96	210032590.0	1.0	2389378.2
0.96	209930190.0	1.0	2388790.8
0.96	209836740.0	1.0	2388192.8
0.96	209750900.0	1.0	2387604.5
